"en","woeid","zh","prov","long","lat","low","high","code","humidity","visibility","pressure","rising"
"beijing",2151330,"北京","北京市",116.4666667,39.9,"3","18","32","7",NA,"1026.2","0"
"shanghai",2151849,"上海","上海市",121.4833333,31.23333333,"7","13","33","51","9.99","1015.92","1"
"tianjin",2159908,"天津","天津市",117.1833333,39.15,"3","17","33","11","9.99","1015.92","0"
"chongqing",20070171,"重庆","重庆市",106.5333333,29.53333333,"12","21","28","49",NA,"1020.2","0"
"harbin",2141166,"哈尔滨","黑龙江省",126.6833333,45.75,"-6","3","33","32","9.99","1015.92","1"
"changchun",2137321,"长春","吉林省",125.3166667,43.86666667,"-6","3","33","18","9.99","1015.92","1"
"shenyang",2148332,"沈阳","辽宁省",123.4,41.83333333,"-4","6","33","23","9.99","1015.92","0"
"hohhot",2149760,"呼和浩特","内蒙古自治区",111.8,40.81666667,"-4","12","34","12","9.99","1015.92","1"
"shijiazhuang",2171287,"石家庄","河北省",114.4666667,38.03333333,"2","17","34","23","9.99","1015.92","1"
"wulumuqi",26198317,"乌鲁木齐","新疆维吾尔自治区",87.6,43.8,"7","18","34","22","9.99","1015.92","0"
"lanzhou",2145605,"兰州","甘肃省",103.8166667,36.05,"0","11","28","32",NA,"812.73","0"
"xining",2138941,"西宁","青海省",101.75,36.63333333,"-4","11","28","43",NA,"745.01","0"
"xian",2157249,"西安","陕西省",108.9,34.26666667,"7","13","28","75","13","1026.6","0"
"yinchuan",2150551,"银川","宁夏回族自治区",106.2666667,38.33333333,"0","14","28","11","16","1025.7","0"
"zhengzhou",2172736,"郑州","河南省",113.7,34.8,"6","13","34","47","9.99","1015.92","0"
"jinan",2168327,"济南","山东省",117,36.63333333,"4","16","28","12",NA,"1029.1","0"
"taiyuan",2154547,"太原","山西省",112.5666667,37.86666667,"2","14","34","7","9.99","1015.92","0"
"hefei",2127866,"合肥","安徽省",117.3,31.85,"6","16","34","41","9.99","1015.92","1"
"wuhan",2163866,"武汉","湖北省",114.35,30.61666667,"9","20","34","55","9.99","1015.92","1"
"changsha",26198213,"长沙","湖南省",113,28.18333333,"11","18","32","73","6","1015.92","0"
"nanjing",2137081,"南京","江苏省",118.8333333,32.03333333,"6","16","34","58","9.99","1015.92","1"
"chengdu",2158433,"成都","四川省",104.0833333,30.65,"13","21","30","43","9.99","1015.92","0"
"guiyang",2146703,"贵阳","贵州省",106.7,26.58333333,"9","18","26","88","8","1015.92","0"
"kunming",2160693,"昆明","云南省",102.6833333,25,"10","18","28","67","7","1015.92","0"
"nanning",2166473,"南宁","广西壮族自治区",108.3333333,22.8,"17","23","11","100","3.11","1015.92","1"
"lasa",26198235,"拉萨","西藏自治区",91.16666667,29.66666667,"-7","12","26","28",NA,"643.41","0"
"hangzhou",2132574,"杭州","浙江省",120.15,30.23333333,"6","14","33","62","9.99","1015.92","0"
"nanchang",26198151,"南昌","江西省",115.8666667,28.68333333,"8","16","20","84","3.8","1023.2","0"
"guangzhou",2161838,"广州","广东省",113.25,23.13333333,"19","26","30","88","7","1015.92","0"
"fuzhou",2139963,"福州","福建省",119.3,26.08333333,"9","11","26","72","9.99","1015.92","2"
"taipei",2306179,"台北","台湾省",121.5166667,25.05,"16","20","11","88","5","1015.92","0"
"haikou",2162779,"海口","海南省",110.3333333,20.03333333,"20","26","30","78","7","982.05","1"
"hongkong",24865698,"香港","香港特别行政区",114.1666667,22.3,"18","24","30","53","9.99","1015.92","0"
